0.0000, 1.0000, "FP1-F7", artf
0.0000, 1.0000, "F7-T3", bckg
0.0000, 1.0000, "T3-T5", bckg
0.0000, 1.0000, "T5-O1", bckg
0.0000, 1.0000, "FP2-F8", artf
0.0000, 1.0000, "F8-T4", bckg
0.0000, 1.0000, "T4-T6", bckg
0.0000, 1.0000, "T6-O2", bckg
0.0000, 1.0000, "A1-T3", artf
0.0000, 1.0000, "T3-C3", artf
0.0000, 1.0000, "C3-CZ", artf
0.0000, 1.0000, "CZ-C4", bckg
0.0000, 1.0000, "C4-T4", bckg
0.0000, 1.0000, "T4-A2", bckg
0.0000, 1.0000, "FP1-F3", bckg
0.0000, 1.0000, "F3-C3", artf
0.0000, 1.0000, "C3-P3", bckg
0.0000, 1.0000, "P3-O1", bckg
0.0000, 1.0000, "FP2-F4", artf
0.0000, 1.0000, "F4-C4", bckg
0.0000, 1.0000, "C4-P4", bckg
0.0000, 1.0000, "P4-O2", artf
1.0000, 2.0000, "FP1-F7", bckg
1.0000, 2.0000, "F7-T3", bckg
1.0000, 2.0000, "T3-T5", bckg
1.0000, 2.0000, "T5-O1", bckg
1.0000, 2.0000, "FP2-F8", bckg
1.0000, 2.0000, "F8-T4", bckg
1.0000, 2.0000, "T4-T6", bckg
1.0000, 2.0000, "T6-O2", bckg
1.0000, 2.0000, "A1-T3", artf
1.0000, 2.0000, "T3-C3", artf
1.0000, 2.0000, "C3-CZ", bckg
1.0000, 2.0000, "CZ-C4", bckg
1.0000, 2.0000, "C4-T4", bckg
1.0000, 2.0000, "T4-A2", bckg
1.0000, 2.0000, "FP1-F3", bckg
1.0000, 2.0000, "F3-C3", bckg
1.0000, 2.0000, "C3-P3", bckg
1.0000, 2.0000, "P3-O1", bckg
1.0000, 2.0000, "FP2-F4", bckg
1.0000, 2.0000, "F4-C4", bckg
1.0000, 2.0000, "C4-P4", bckg
1.0000, 2.0000, "P4-O2", bckg
2.0000, 3.0000, "FP1-F7", bckg
2.0000, 3.0000, "F7-T3", bckg
2.0000, 3.0000, "T3-T5", bckg
2.0000, 3.0000, "T5-O1", bckg
2.0000, 3.0000, "FP2-F8", artf
2.0000, 3.0000, "F8-T4", bckg
2.0000, 3.0000, "T4-T6", bckg
2.0000, 3.0000, "T6-O2", bckg
2.0000, 3.0000, "A1-T3", bckg
2.0000, 3.0000, "T3-C3", bckg
2.0000, 3.0000, "C3-CZ", bckg
2.0000, 3.0000, "CZ-C4", bckg
2.0000, 3.0000, "C4-T4", bckg
2.0000, 3.0000, "T4-A2", bckg
2.0000, 3.0000, "FP1-F3", artf
2.0000, 3.0000, "F3-C3", bckg
2.0000, 3.0000, "C3-P3", bckg
2.0000, 3.0000, "P3-O1", bckg
2.0000, 3.0000, "FP2-F4", bckg
2.0000, 3.0000, "F4-C4", artf
2.0000, 3.0000, "C4-P4", bckg
2.0000, 3.0000, "P4-O2", bckg
3.0000, 4.0000, "FP1-F7", bckg
3.0000, 4.0000, "F7-T3", bckg
3.0000, 4.0000, "T3-T5", bckg
3.0000, 4.0000, "T5-O1", bckg
3.0000, 4.0000, "FP2-F8", bckg
3.0000, 4.0000, "F8-T4", bckg
3.0000, 4.0000, "T4-T6", bckg
3.0000, 4.0000, "T6-O2", bckg
3.0000, 4.0000, "A1-T3", bckg
3.0000, 4.0000, "T3-C3", bckg
3.0000, 4.0000, "C3-CZ", bckg
3.0000, 4.0000, "CZ-C4", bckg
3.0000, 4.0000, "C4-T4", bckg
3.0000, 4.0000, "T4-A2", bckg
3.0000, 4.0000, "FP1-F3", bckg
3.0000, 4.0000, "F3-C3", bckg
3.0000, 4.0000, "C3-P3", bckg
3.0000, 4.0000, "P3-O1", bckg
3.0000, 4.0000, "FP2-F4", bckg
3.0000, 4.0000, "F4-C4", bckg
3.0000, 4.0000, "C4-P4", bckg
3.0000, 4.0000, "P4-O2", bckg
4.0000, 5.0000, "FP1-F7", artf
4.0000, 5.0000, "F7-T3", bckg
4.0000, 5.0000, "T3-T5", artf
4.0000, 5.0000, "T5-O1", bckg
4.0000, 5.0000, "FP2-F8", bckg
4.0000, 5.0000, "F8-T4", bckg
4.0000, 5.0000, "T4-T6", bckg
4.0000, 5.0000, "T6-O2", bckg
4.0000, 5.0000, "A1-T3", artf
4.0000, 5.0000, "T3-C3", artf
4.0000, 5.0000, "C3-CZ", bckg
4.0000, 5.0000, "CZ-C4", bckg
4.0000, 5.0000, "C4-T4", bckg
4.0000, 5.0000, "T4-A2", bckg
4.0000, 5.0000, "FP1-F3", artf
4.0000, 5.0000, "F3-C3", bckg
4.0000, 5.0000, "C3-P3", bckg
4.0000, 5.0000, "P3-O1", bckg
4.0000, 5.0000, "FP2-F4", bckg
4.0000, 5.0000, "F4-C4", bckg
4.0000, 5.0000, "C4-P4", bckg
4.0000, 5.0000, "P4-O2", bckg
5.0000, 6.0000, "FP1-F7", bckg
5.0000, 6.0000, "F7-T3", bckg
5.0000, 6.0000, "T3-T5", bckg
5.0000, 6.0000, "T5-O1", bckg
5.0000, 6.0000, "FP2-F8", bckg
5.0000, 6.0000, "F8-T4", bckg
5.0000, 6.0000, "T4-T6", bckg
5.0000, 6.0000, "T6-O2", bckg
5.0000, 6.0000, "A1-T3", bckg
5.0000, 6.0000, "T3-C3", bckg
